iplantitem1,relation,iplantitem2
百合,经济用途,中国食用(淀粉)植物
渥丹,经济用途,中国食用(淀粉)植物
毛百合,经济用途,中国食用(淀粉)植物
川百合,经济用途,中国食用(淀粉)植物
东北百合,经济用途,中国食用(淀粉)植物
卷丹,经济用途,中国食用(淀粉)植物
新疆百合,经济用途,中国食用(淀粉)植物
山丹,经济用途,中国食用(淀粉)植物
南川百合,经济用途,中国食用(淀粉)植物
药百合,经济用途,中国食用(淀粉)植物
鼎湖钓樟,经济用途,中国食用(淀粉)植物
香叶树,经济用途,中国食用(淀粉)植物
亚麻,经济用途,中国食用(淀粉)植物
荔枝,经济用途,中国食用(淀粉)植物
鱼蓝柯,经济用途,中国食用(淀粉)植物
清香木姜子,经济用途,中国食用(淀粉)植物
四川木姜子,经济用途,中国食用(淀粉)植物
木姜子,经济用途,中国食用(淀粉)植物
秦岭木姜子,经济用途,中国食用(淀粉)植物
美丽蒲葵,经济用途,中国食用(淀粉)植物
蓝靛果,经济用途,中国食用(淀粉)植物
桑寄生科,经济用途,中国食用(淀粉)植物
百脉根,经济用途,中国食用(淀粉)植物
翅荚百脉根,经济用途,中国食用(淀粉)植物
丝瓜,经济用途,中国食用(淀粉)植物
枸杞,经济用途,中国食用(淀粉)植物
柔茎枸杞,经济用途,中国食用(淀粉)植物
狼紫草,经济用途,中国食用(淀粉)植物
地笋-硬毛变种,经济用途,中国食用(淀粉)植物
石蒜属,经济用途,中国食用(淀粉)植物
矮桃,经济用途,中国食用(淀粉)植物
澳洲坚果,经济用途,中国食用(淀粉)植物
海南紫荆木,经济用途,中国食用(淀粉)植物
