entity,relation,value
石蒜,治疗,肾炎水肿
石蒜,治疗,毒蛇咬伤
多蕊木,治疗,跌打损伤
多蕊木,治疗,风湿骨痛
露兜树,治疗,感冒发热
露兜树,治疗,肾炎
露兜树,治疗,水肿
露兜树,治疗,腰腿痛
露兜树,治疗,疝气痛
露珠珍珠菜,治疗,肺结核
露珠珍珠菜,治疗,跌打损伤
鹿藿,治疗,风湿骨痛
鹿藿,治疗,气管炎
鹿藿,治疗,疮疥
灰岩皱叶报春,治疗,跌打痨伤
灰岩皱叶报春,治疗,风湿疼痛
绿花崖豆藤,治疗,跌打损伤
绿花玉凤花,治疗,毒疮
升麻,治疗,风热头痛
升麻,治疗,咽喉肿痛
升麻,治疗,斑疹不易透发
双花堇菜,治疗,跌打损伤
轮伞五加,治疗,风湿性关节痛
轮伞五加,治疗,小儿筋骨痿软
轮伞五加,治疗,跌打损伤
轮伞五加,治疗,阳萎
轮叶过路黄,治疗,肺结核咯血
轮叶过路黄,治疗,高血压
轮叶过路黄,治疗,毒蛇咬伤
密鳞紫金牛,治疗,腹痛
罗伞树,治疗,跌打损伤
无根藤,治疗,肾炎水肿
无根藤,治疗,尿路结石
无根藤,治疗,尿路感染
无根藤,治疗,跌打疖肿
无根藤,治疗,湿疹
斜叶黄檀,治疗,风湿
斜叶黄檀,治疗,跌打
斜叶黄檀,治疗,扭挫伤
裸花紫珠,治疗,外伤出血
裸花紫珠,治疗,跌打肿痛
裸花紫珠,治疗,风湿肿痛
裸花紫珠,治疗,肺结核咯血
裸花紫珠,治疗,胃肠出血
裸茎金腰,治疗,发烧
裸茎金腰,治疗,头痛
裸茎金腰,治疗,急性黄疸型肝炎
裸茎碎米荠,治疗,疔疮
紫荆,治疗,产后血气痛
紫荆,治疗,疮肿毒
紫荆,治疗,喉痹
紫荆,治疗,风湿筋骨痛
骆驼刺属,治疗,神经性头痛
毛萼香茶菜,治疗,脚气
野菰,治疗,骨髓炎
野菰,治疗,喉痛
山橙,治疗,疝气
山橙,治疗,腹痛
山橙,治疗,小儿疳积
山橙,治疗,消化不良
山橙,治疗,睾丸炎
云南蕊木,治疗,水肿
云南蕊木,治疗,咽喉炎
云南蕊木,治疗,扁桃腺炎
云南蕊木,治疗,风湿骨痛
云南蕊木,治疗,四肢麻木
马尿藤,治疗,跌打
马尿藤,治疗,皮肤病
马尿藤,治疗,感冒
马尿藤,治疗,肾炎
毛发唐松草,治疗,小儿高热
毛发唐松草,治疗,惊风
毛发唐松草,治疗,肺炎
蚂蝗七,治疗,小儿疳积
蚂蝗七,治疗,胃痛
蚂蝗七,治疗,跌打损伤
雪兔子,治疗,妇女病
雪兔子,治疗,风湿性关节炎
麦仙翁,治疗,百日咳
细野麻,治疗,皮肤发痒
细野麻,治疗,湿毒
麦蓝菜,治疗,经闭
麦蓝菜,治疗,乳汁不通
